,Artist,Name,date,price,comments,repeat_sale
147,Rembrandt Harmensz van Rijn,Portrait of a man with arms akimbo,12.08.2009 ,"33,274,996 ", ,0
148,Francis Bacon,Self-Portrait,11.14.2007 ,"33,081,000 ", ,0
149,Gustav Klimt,Apple Tree I,11.08.2006 ,"33,056,000 ", ,0
150,Claude Monet,Bassin aux nympheas et sentier au bord de l′eau,06.30.1998 ,"32,991,502 ", ,0
151,Canaletto,"Venice, the Grand Canal, looking north-east from Palazzo Balbi to the Rialto Bridge",07.07.2005 ,"32,648,762 ", ,0
152,Alberto Giacometti,Diego en chemise écossaise,11.05.2013 ,"32,645,000 ", ,0
153,Jackson Pollock,Number 16,11.12.2013 ,"32,645,000 ", ,0
154,Andy Warhol,Self portrait,05.12.2010 ,"32,562,500 ", ,0
155,Andy Warhol,Double Marlon,05.13.2008 ,"32,521,000 ", ,1
156,,Abstraktes Bild,02.13.2014 ,"32,293,282 ", ,0
157,Camille Pissarro,"Le boulevard Montmartre, matinée de printemps",02.05.2014 ,"32,098,220 ", ,0
